tx_hash,from,to,amount,block_number,block_time
0x00438fcc9cfd3ac61c983565e742d6240fdfc4eeda5a171a035c4616d168347c,0x94b6a0ee9762514b41bc95326759f78bc8194fd8,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,50000000000000000,18909161,2024-01-01 00:54:23.000 UTC
0x00349049dd0cc551bbcf4f23507aa840ad3b524661fe56a82dcfff82208300a2,0x9cc102ab082e9e0718c16c668f3f2464afc30775,0x253553366da8546fc250f225fe3d25d0c782303b,0,18909161,2024-01-01 00:54:23.000 UTC
0x007629eb8621940a45fceefd083e1620ace3fb3de75f435ee09f0da80114023d,0x01f92a36058fee7c61084ac46f0363e4313a0444,0x253553366da8546fc250f225fe3d25d0c782303b,0,18909165,2024-01-01 00:55:11.000 UTC
0x000e8891563d0e4ce6c46752d6e2b7afda97da6ec0c99f53a1f144baef02576e,0x3a9d5bbfc7f2c9b388c52f4abee2c8bd772a6230,0x253553366da8546fc250f225fe3d25d0c782303b,0,18909166,2024-01-01 00:55:23.000 UTC
0x00035c6556756c57e8fd35cf1b801e7a7a571d762c5a86f2cce6a6e8a7f349d9,0x098bd7e9d60a5a35f92472b143c0dbe33a26acdb,0x253553366da8546fc250f225fe3d25d0c782303b,0,18909167,2024-01-01 00:55:35.000 UTC
0x0056d2c97945d234864c036b3ec15758f857f3b889a37183292b381790c49441,0xc5c7386e92878cbb10bd57792f2023cb747a61d6,0x253553366da8546fc250f225fe3d25d0c782303b,0,18909179,2024-01-01 00:57:59.000 UTC
0x0025c2467469b94ee7ab96bf14b74eb68805d66a03786cdae5b58147a60b28d8,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xdac17f958d2ee523a2206206994597c13d831ec7,0,18909186,2024-01-01 00:59:35.000 UTC
0x005d56bf87ca02b023381e609d27cc621f233eb2811c342d547b3b8339723b30,0x0d809ec1793559300a6100002b137e5f8df469c1,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,248293000000000000,18909188,2024-01-01 00:59:59.000 UTC
0x0082bb774eaea83cf9d50e4f226e1ef4cb9477b3207622332d7f146915cf2305,0x5dc4d5ff0bf71b56245a535a5ed2a30586210482,0xf639b4ebb77df1ed4b5014c244f60e72b8adb29b,0,18909191,2024-01-01 01:00:35.000 UTC
0x0088e2cb9e64ad67843b40d1c6f8a0ee353a8d32194e5bd4e8f1719a9da3c3b6,0xb3b1a5dcf58eef31486306934c340f7a5c9aa5da,0x78ec5c6265b45b9c98cf682665a00a3e8f085ffe,893840234899206,18909191,2024-01-01 01:00:35.000 UTC
0x001ee51c5303ab07415282dadd3c0f0c58db91bd099920f3e3be50f88c9f8d17,0x61bb6ad78343333295980b7e1a0a04d139e13ba0,0xdac17f958d2ee523a2206206994597c13d831ec7,0,18909191,2024-01-01 01:00:35.000 UTC
0x001574719b1f66a7861f4adaaef7b7bfad4051c9277f66ba10da30903b9c8fb4,0x6767526a362ec6c6b1df185478e4f01506b73ff3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0,18909193,2024-01-01 01:00:59.000 UTC
0x00935da6f2fe9f602543bff6dbad940c57cabadd91337e0b584799273f29ec1c,0x3f08f17973ab4124c73200135e2b675ab2d263d9,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0,18909199,2024-01-01 01:02:11.000 UTC
0x002c914502824fd8473b5607688bb01c3f95c603df78ff930614d15c321f88b9,0x2333afa57f629a8a4daff23decb7a65a1f29a19d,0x4fc9304a2c73da9c08877d435e269c563b341f14,999442112695173713,18909202,2024-01-01 01:02:47.000 UTC
0x0053369c35a26c32a632a66700f5031b02bd91f3b342d66cd91a4565208e1a5a,0xea4cba4c5a6db3f07ce3e20df213655d01fa1618,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0,18909204,2024-01-01 01:03:11.000 UTC
0x000e8e48f855c1ff80f5512bd1f86e12fc4649b0c7d804a174958edb6d29347a,0x19845e9a289162b490e5b2503a93ad771161f228,0x18f40e4a4bf809985bc73c8eccf54efda3705c2b,0,18909209,2024-01-01 01:04:11.000 UTC
